Property Type,Beds,Bath,House Sqft,Lot Sqft,Price,Address,City,State,Lat,Lon,Ocean Distance,Gym Distance,Gym Duration,Year Built,Last Updated,Value Change Last 30 Days,Last Sold Date,Last Sold Price,Zestimate,Date Scraped,Id,Url
VacantResidentialLand,,,,174240,"$7,995,000",7792 Senn Way,La Jolla,CA,32.843728,-117.248666,0.952065449996031,2.2 mi,9 mins,,01/01/1970,,,,,2019-01-31,2090741864,https://www.zillow.com/homedetails/7792-Senn-Way-La-Jolla-CA-92037/2090741864_zpid/
VacantResidentialLand,,,,217800,"$7,995,000",7792 Senn Way LOT 1-A,La Jolla,CA,32.843728,-117.248666,0.952065449996031,2.2 mi,9 mins,,01/01/1970,,,,,2019-01-31,2088947035,https://www.zillow.com/homedetails/7792-Senn-Way-LOT-1-A-La-Jolla-CA-92037/2088947035_zpid/
SingleFamily,5,5.0,8236,17798,"$8,400,000",6092 Avenida Chamnez,LA JOLLA,CA,32.82374,-117.263195,1.17758251640414,2.8 mi,11 mins,2006,01/30/2019,-65345,06/29/1999,965000,7046853,2019-01-31,79571545,https://www.zillow.com/homedetails/6092-Avenida-Chamnez-La-Jolla-CA-92037/79571545_zpid/
SingleFamily,5,9.0,8700,38768,"$8,600,000",6404 La Jolla Scenic Dr S,LA JOLLA,CA,32.831317,-117.252959,1.4141819730748697,2.5 mi,8 mins,1995,01/30/2019,-151469,04/17/1997,1325000,8088418,2019-01-31,16851792,https://www.zillow.com/homedetails/6404-La-Jolla-Scenic-Dr-S-La-Jolla-CA-92037/16851792_zpid/
SingleFamily,6,10.0,10828,42688,"$8,800,000",5811 Rutgers Rd,LA JOLLA,CA,32.82094,-117.254481,1.717884538423106,2.7 mi,10 mins,2017,01/30/2019,133733,06/30/2008,2250000,8758304,2019-01-31,16856558,https://www.zillow.com/homedetails/5811-Rutgers-Rd-La-Jolla-CA-92037/16856558_zpid/
SingleFamily,7,7.0,7570,81892,"$8,998,000",6001 La Jolla Scenic Dr S,LA JOLLA,CA,32.824812,-117.254816,1.607196652037815,3.0 mi,10 mins,2005,01/30/2019,-294800,06/26/2001,2775000,7748274,2019-01-31,120796128,https://www.zillow.com/homedetails/6001-La-Jolla-Scenic-Dr-S-La-Jolla-CA-92037/120796128_zpid/
SingleFamily,5,5.0,6280,18164,"$9,499,000",7430 Hillside Dr,LA JOLLA,CA,32.844031,-117.255827,0.610500604685774,1.8 mi,8 mins,,01/30/2019,-46618,12/14/2011,825000,9773129,2019-01-31,99478271,https://www.zillow.com/homedetails/7430-Hillside-Dr-La-Jolla-CA-92037/99478271_zpid/
SingleFamily,6,7.0,7356,43560,"$9,895,000",2608 Crown Crest Ln,LA JOLLA,CA,32.884343,-117.248145,2.389389882853732,4.6 mi,14 mins,2018,01/30/2019,-182584,12/29/2017,5800000,7921004,2019-01-31,16834405,https://www.zillow.com/homedetails/2608-Crown-Crest-Ln-La-Jolla-CA-92037/16834405_zpid/
SingleFamily,7,5.0,4176,10672,"$9,900,000",417 Sea Ridge Dr,LA JOLLA,CA,32.808276,-117.265542,1.832694365200148,3.0 mi,10 mins,1984,01/30/2019,-114969,05/01/2015,3325000,4646048,2019-01-31,16907608,https://www.zillow.com/homedetails/417-Sea-Ridge-Dr-La-Jolla-CA-92037/16907608_zpid/
SingleFamilySingleFamily,4,7.0,4863,23522108900,"$9,995,000",7404 Hillside Dr 7404 Hillside Dr,LA JOLLA LA JOLLA,CA CA,32.84355632,-117.255484,0.6466529101681415,1.8 mi,8 mins,1970,01/01/197001/30/2019,66496,,,5376675,2019-01-31,9945990816851384,https://www.zillow.com/homedetails/7404-Hillside-Dr-La-Jolla-CA-92037/99459908_zpid/https://www.zillow.com/homedetails/7404-Hillside-Dr-La-Jolla-CA-92037/16851384_zpid/
SingleFamily,4,4.0,6059,10890,"$10,095,000",1585 Coast Walk,LA JOLLA,CA,32.848368,-117.26609,0.05406040909200519,0.8 mi,4 mins,1985,01/30/2019,288794,,,7904886,2019-01-31,16848063,https://www.zillow.com/homedetails/1585-Coast-Walk-La-Jolla-CA-92037/16848063_zpid/
SingleFamily,3,4.5,3124,3998,"$10,495,000",6653 Neptune Pl,LA JOLLA,CA,32.827818,-117.279626,0.2556402680766756,1.5 mi,6 mins,2012,01/30/2019,-43017,01/26/2009,2575000,6437702,2019-01-31,16850262,https://www.zillow.com/homedetails/6653-Neptune-Pl-La-Jolla-CA-92037/16850262_zpid/
SingleFamily,7,10.0,10423,19427,"$10,900,000",7356 Brodiaea Way,LA JOLLA,CA,32.841858,-117.25989,0.5830972247867934,1.3 mi,6 mins,1998,01/30/2019,26614,10/28/2011,5400000,9243084,2019-01-31,16851506,https://www.zillow.com/homedetails/7356-Brodiaea-Way-La-Jolla-CA-92037/16851506_zpid/
SingleFamily,3,5.0,3323,10890,"$11,590,000",7076 Neptune Pl,LA JOLLA,CA,32.833205,-117.281667,0.03479553081647173,1.3 mi,6 mins,1952,01/30/2019,62217,,,7605162,2019-01-31,16849688,https://www.zillow.com/homedetails/7076-Neptune-Pl-La-Jolla-CA-92037/16849688_zpid/
SingleFamily,8,10.0,13575,50094,"$13,500,000",1640 La Jolla Rancho Rd,LA JOLLA,CA,32.82607,-117.25763,1.4267510554211178,2.3 mi,9 mins,2008,01/30/2019,-22719,11/30/2004,2950000,9649545,2019-01-31,16856426,https://www.zillow.com/homedetails/1640-La-Jolla-Rancho-Rd-La-Jolla-CA-92037/16856426_zpid/
SingleFamily,7,10.0,8328,11609,"$15,995,000",7400 Vista Del Mar Ave,LA JOLLA,CA,32.837058,-117.280997,0.04644902379118391,0.9 mi,5 mins,2003,01/30/2019,-72022,07/01/2004,9445500,17036087,2019-01-31,16849126,https://www.zillow.com/homedetails/7400-Vista-Del-Mar-Ave-La-Jolla-CA-92037/16849126_zpid/
SingleFamily,5,7.0,8627,51836,"$19,500,000",9828 La Jolla Farms Rd,LA JOLLA,CA,32.883825,-117.251256,2.3004401694070498,4.7 mi,14 mins,2003,01/30/2019,-24873,11/22/1999,4250000,9117905,2019-01-31,16834392,https://www.zillow.com/homedetails/9828-La-Jolla-Farms-Rd-La-Jolla-CA-92037/16834392_zpid/
VacantResidentialLand,,,,967903,"$20,000,000",Country Club Dr LOT 11,La Jolla,CA,32.8444,-117.2537,0.6979094062349557,1.9 mi,8 mins,,01/01/1970,,,,,2019-01-31,2086716939,https://www.zillow.com/homedetails/Country-Club-Dr-LOT-11-La-Jolla-CA-92037/2086716939_zpid/
SingleFamily,6,11.0,12000,18730,"$29,500,000",1369 Coast Walk,La Jolla,CA,32.848985,-117.269738,0.06251216673575086,0.6 mi,5 mins,2004,01/30/2019,138795,,,13060501,2019-01-31,2089445597,https://www.zillow.com/homedetails/1369-Coast-Walk-La-Jolla-CA-92037/2089445597_zpid/
SingleFamily,6,6.0,11954,33541,"$30,000,000",9826 La Jolla Farms Rd,LA JOLLA,CA,32.884175,-117.250817,2.330684566382268,4.7 mi,14 mins,2007,01/30/2019,248553,,,23388271,2019-01-31,16834391,https://www.zillow.com/homedetails/9826-La-Jolla-Farms-Rd-La-Jolla-CA-92037/16834391_zpid/
