Property Type,Beds,Bath,House Sqft,Lot Sqft,Price,Address,City,State,Lat,Lon,Ocean Distance,Year Built,Last Updated,Value Change Last 30 Days,Last Sold Date,Last Sold Price,Zestimate,Date Scraped,Id,Url
Condominium,2,3,2665,,"$2,425,000 ",464 Prospect St UNIT 608,La Jolla,CA,32.842635,-117.279139,0.110691923,2003,1/20/2019,134233,,,2940581,1/21/2019,2088448945,https://www.zillow.com/homedetails/464-Prospect-St-UNIT-608-La-Jolla-CA-92037/2088448945_zpid/
SingleFamily,3,2,1958,10890,"$2,449,000 ",5331 Calumet Ave,LA JOLLA,CA,32.808802,-117.267773,1.738578352,1957,1/20/2019,-1739,,,2239111,1/21/2019,16907532,https://www.zillow.com/homedetails/5331-Calumet-Ave-La-Jolla-CA-92037/16907532_zpid/
SingleFamily,5,4,3550,20908,"$2,465,000 ",2265 Calle Tiara,LA JOLLA,CA,32.824164,-117.245612,2.05429202,1978,1/20/2019,-11902,3/26/2018,2350000,2367623,1/21/2019,16857787,https://www.zillow.com/homedetails/2265-Calle-Tiara-La-Jolla-CA-92037/16857787_zpid/
SingleFamily,4,4,3204,27442,"$2,495,000 ",5951 La Jolla Mesa Dr,LA JOLLA,CA,32.822583,-117.257229,1.526161624,1967,1/20/2019,-23858,8/28/2008,2325000,2517495,1/21/2019,16856545,https://www.zillow.com/homedetails/5951-La-Jolla-Mesa-Dr-La-Jolla-CA-92037/16856545_zpid/
CondominiumCondominium,22,2.53.0,17011701,,"$2,495,000 ",1020 Prospect St UNIT 203 1020 Prospect St UNIT 203,La Jolla La Jolla,CA CA,32.84797932,-117.274739,0.099877078,20172017,01/20/201901/20/2019,3164870020,,,2.31632E+13,1/21/2019,2.50194E+18,https://www.zillow.com/homedetails/1020-Prospect-St-UNIT-203-La-Jolla-CA-92037/250194187_zpid/https://www.zillow.com/homedetails/1020-Prospect-St-UNIT-203-La-Jolla-CA-92037/2093122983_zpid/
SingleFamily,4,4,3401,35719,"$2,500,000 ",1031 La Jolla Rancho Rd,LA JOLLA,CA,32.819522,-117.262071,1.383585588,1978,1/20/2019,10161,5/25/1994,889000,2568335,1/21/2019,16855379,https://www.zillow.com/homedetails/1031-La-Jolla-Rancho-Rd-La-Jolla-CA-92037/16855379_zpid/
SingleFamily,3,3,3868,7653,"$2,500,000 ",835 La Jolla Corona Ct,LA JOLLA,CA,32.81751,-117.264888,1.347881247,1985,1/20/2019,-19289,12/16/2016,2200000,2439700,1/21/2019,16856385,https://www.zillow.com/homedetails/835-La-Jolla-Corona-Ct-La-Jolla-CA-92037/16856385_zpid/
SingleFamilyCondominium,44,5.05.0,40104010,1089010890,"$2,548,000 ",2380 Almeria Ct 2380 Almeria Ct,La Jolla La Jolla,CA CA,32.82050632,-117.231424,2.759060094,20182018,01/20/201901/20/2019,-46811,,,2.37526E+13,1/21/2019,2.50196E+18,https://www.zillow.com/homedetails/2380-Almeria-Ct-La-Jolla-CA-92037/250195850_zpid/https://www.zillow.com/homedetails/2380-Almeria-Ct-La-Jolla-CA-92037/2088190718_zpid/
SingleFamily,4,3,2578,10890,"$2,550,000 ",6170 Inspiration Way,LA JOLLA,CA,32.824295,-117.265542,1.038556774,1974,1/20/2019,-8368,1/4/2017,2205000,2435444,1/21/2019,16854860,https://www.zillow.com/homedetails/6170-Inspiration-Way-La-Jolla-CA-92037/16854860_zpid/
SingleFamily,3,3.5,3437,16117,$2.57M,7242 Romero Dr,LA JOLLA,CA,32.840196,-117.259516,0.697172676,1993,1/20/2019,-154813,8/13/1995,1100000,2921683,1/21/2019,16851549,https://www.zillow.com/homedetails/7242-Romero-Dr-La-Jolla-CA-92037/16851549_zpid/
