title,bedrooms,bathrooms,sqft,price,bedrooms 2,price 2,address,city,state,lat,lon,id,date scraped,url
House for rent,3,2,"1,550","$3,250",,,8085 Caminito Mallorca, La Jolla, CA,32859054,-117235382,16841820,2019-01-20,https://www.zillow.com/homedetails/8085-Caminito-Mallorca-La-Jolla-CA-92037/16841820_zpid/
House for rent,3,2,"1,338","$3,995",,,8236 La Jolla Shores Dr, La Jolla, CA,32856262,-117254019,16838825,2019-01-20,https://www.zillow.com/homedetails/8236-La-Jolla-Shores-Dr-La-Jolla-CA-92037/16838825_zpid/
For Rent,2,,,"$3,995+",,,1039 Coast Blvd, La Jolla, CA,32848306,-117274695,32.848306--117.274695,2019-01-20,"https://www.zillow.com/b/1039-Coast-Blvd-LA-JOLLA-CA/32.848306,-117.274695_ll/"
House for rent,3,2.5,"1,755","$4,000",,,6671 La Jolla Scenic Dr S, La Jolla, CA,32836801,-117248622,16852268,2019-01-20,https://www.zillow.com/homedetails/6671-La-Jolla-Scenic-Dr-S-La-Jolla-CA-92037/16852268_zpid/
Apartment for rent,2,1,864,"$4,000",,,215 Bonair St, La Jolla, CA,32829838,-117280133,2106768363,2019-01-20,https://www.zillow.com/homedetails/215-Bonair-St-La-Jolla-CA-92037/2106768363_zpid/
Apartment for rent,2,1,--,"$4,000",,,815 Coast Blvd S # 8155, La Jolla, CA,32845943,-117277276,2086312596,2019-01-20,https://www.zillow.com/homedetails/815-Coast-Blvd-S-8155-La-Jolla-CA-92037/2086312596_zpid/
House for rent,3,2,948,"$4,100",,,5526 Taft Ave, La Jolla, CA,32814036,-117263617,16855999,2019-01-20,https://www.zillow.com/homedetails/5526-Taft-Ave-La-Jolla-CA-92037/16855999_zpid/
House for rent,3,2,"2,400","$4,200",,,La Jolla Blvd, La Jolla, CA,32812570,-117267652,2098148178,2019-01-20,https://www.zillow.com/homedetails/La-Jolla-Blvd-La-Jolla-CA-92037/2098148178_zpid/
House for rent,2,1,"1,118","$4,200",,,5559 Waverly Ave, La Jolla, CA,32814265,-117265790,16855963,2019-01-20,https://www.zillow.com/homedetails/5559-Waverly-Ave-La-Jolla-CA-92037/16855963_zpid/
House for rent,3,2.5,"2,558","$4,300",,,1497 Caminito Solidago, La Jolla, CA,32819986,-117251273,16858244,2019-01-20,https://www.zillow.com/homedetails/1497-Caminito-Solidago-La-Jolla-CA-92037/16858244_zpid/
House for rent,3,1.5,"1,085","$4,300",,,5425 Waverly Ave, La Jolla, CA,32812424,-117263621,16856184,2019-01-20,https://www.zillow.com/homedetails/5425-Waverly-Ave-La-Jolla-CA-92037/16856184_zpid/
Townhouse for rent,2,3,"1,418","$4,300",,,7625 Draper Ave UNIT A, La Jolla, CA,32842376,-117276615,16848636,2019-01-20,https://www.zillow.com/homedetails/7625-Draper-Ave-UNIT-A-La-Jolla-CA-92037/16848636_zpid/
Townhouse for rent,3,3,"2,148","$4,300",,,7931 Caminito Del Cid, La Jolla, CA,32851187,-117251381,2125995717,2019-01-20,https://www.zillow.com/homedetails/7931-Caminito-Del-Cid-La-Jolla-CA-92037/2125995717_zpid/
House for rent,3,1,"1,214","$4,500",,,5165 Crystal Dr, La Jolla, CA,32807637,-117261949,16908081,2019-01-20,https://www.zillow.com/homedetails/5165-Crystal-Dr-La-Jolla-CA-92037/16908081_zpid/
House for rent,3,2,"1,300","$4,500",,,6833 Draper Ave, La Jolla, CA,32831930,-117273816,16850024,2019-01-20,https://www.zillow.com/homedetails/6833-Draper-Ave-La-Jolla-CA-92037/16850024_zpid/
House for rent,3,3,"1,900","$4,500",,,7337 Fay Ave, La Jolla, CA,32837966,-117272688,2101516512,2019-01-20,https://www.zillow.com/homedetails/7337-Fay-Ave-La-Jolla-CA-92037/2101516512_zpid/
House for rent,3,2,"1,700","$4,500",,,8212 La Jolla Shores Dr, La Jolla, CA,32855853,-117254042,16838822,2019-01-20,https://www.zillow.com/homedetails/8212-La-Jolla-Shores-Dr-La-Jolla-CA-92037/16838822_zpid/
Apartment for rent,2,1,--,"$4,500",,,Coast Blvd S, La Jolla, CA,32845750,-117277790,2086324537,2019-01-20,https://www.zillow.com/homedetails/Coast-Blvd-S-La-Jolla-CA-92037/2086324537_zpid/
House for rent,3,3,"2,183","$4,600",,,5832 Caminito Empresa, La Jolla, CA,32820684,-117249902,16858196,2019-01-20,https://www.zillow.com/homedetails/5832-Caminito-Empresa-La-Jolla-CA-92037/16858196_zpid/
Condo for rent,2,2,"1,477","$4,650",,,8263 Camino Del Oro UNIT 475, La Jolla, CA,32855911,-117256048,16838784,2019-01-20,https://www.zillow.com/homedetails/8263-Camino-Del-Oro-UNIT-475-La-Jolla-CA-92037/16838784_zpid/
House for rent,2,3,"1,510","$4,664",,,1225 Silverado St, La Jolla, CA,32846586,-117270845,16848154,2019-01-20,https://www.zillow.com/homedetails/1225-Silverado-St-La-Jolla-CA-92037/16848154_zpid/
House for rent,3,2.5,"2,550","$4,700",,,7709 Ivanhoe Ave, La Jolla, CA,32844515,-117270801,16848367,2019-01-20,https://www.zillow.com/homedetails/7709-Ivanhoe-Ave-La-Jolla-CA-92037/16848367_zpid/
House for rent,4,3,"2,465","$4,775",,,Corona Ct, La Jolla, CA,32821570,-117240760,2087320486,2019-01-20,https://www.zillow.com/homedetails/Corona-Ct-La-Jolla-CA-92037/2087320486_zpid/
Apartment for rent,2,3,"1,324","$4,795",,,7425 Olivetas Ave, La Jolla, CA,32837750,-117279158,2101195942,2019-01-20,https://www.zillow.com/homedetails/7425-Olivetas-Ave-La-Jolla-CA-92037/2101195942_zpid/
Condo for rent,3,3,"1,954","$4,800",,,2035 Caminito Circulo Sur, La Jolla, CA,32821401,-117238278,16857414,2019-01-20,https://www.zillow.com/homedetails/2035-Caminito-Circulo-Sur-La-Jolla-CA-92037/16857414_zpid/
Apartment for rent,3,2.5,"1,904","$4,900",,,354 Kolmar St, La Jolla, CA,32828270,-117277616,55808976,2019-01-20,https://www.zillow.com/homedetails/354-Kolmar-St-La-Jolla-CA-92037/55808976_zpid/
House for rent,3,2,"1,400","$4,950",,,605 Bonair St, La Jolla, CA,32830602,-117274821,16850144,2019-01-20,https://www.zillow.com/homedetails/605-Bonair-St-La-Jolla-CA-92037/16850144_zpid/
Condo for rent,2,2,"1,200","$4,950",,,Coast Blvd S, La Jolla, CA,32848765,-117275189,2101371036,2019-01-20,https://www.zillow.com/homedetails/Coast-Blvd-S-La-Jolla-CA-92037/2101371036_zpid/
House for rent,3,2,"2,080","$4,995",,,7227 Olivetas Ave, La Jolla, CA,32835563,-117278450,16849348,2019-01-20,https://www.zillow.com/homedetails/7227-Olivetas-Ave-La-Jolla-CA-92037/16849348_zpid/
Apartment for rent,2,2,"1,215","$4,995",,,Coast Blvd S, San Diego, CA,32846640,-117277230,2086820606,2019-01-20,https://www.zillow.com/homedetails/Coast-Blvd-S-San-Diego-CA-92037/2086820606_zpid/
Apartment for rent,2,2.5,"1,297","$4,995",,,7423 Olivetas Ave, La Jolla, CA,32837863,-117279008,2087397225,2019-01-20,https://www.zillow.com/homedetails/7423-Olivetas-Ave-La-Jolla-CA-92037/2087397225_zpid/
House for rent,3,2,"1,908","$5,000",,,5384 La Jolla Mesa Dr, La Jolla, CA,32812116,-117260590,16856263,2019-01-20,https://www.zillow.com/homedetails/5384-La-Jolla-Mesa-Dr-La-Jolla-CA-92037/16856263_zpid/
Townhouse for rent,4,2.5,"1,824","$5,000",,,8725 Caminito Abrazo, La Jolla, CA,32866197,-117239116,16836061,2019-01-20,https://www.zillow.com/homedetails/8725-Caminito-Abrazo-La-Jolla-CA-92037/16836061_zpid/
House for rent,1,1,440,"$5,000",,,8038 La Jolla Shores Dr, La Jolla, CA,32853160,-117254195,63789853,2019-01-20,https://www.zillow.com/homedetails/8038-La-Jolla-Shores-Dr-La-Jolla-CA-92037/63789853_zpid/
